PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5837,9.659962,-1.498073,-1.954888,0.060972,0.051901,0.282048,-127.059871,-76.690865,-66.356968
5838,9.870262,-1.565059,-1.798802,0.055484,0.079093,0.294829,-126.449118,-76.581021,-66.952349
5839,9.806398,-2.026297,-1.550202,0.033056,0.096936,0.299794,-125.819846,-76.47348,-67.579928
5840,9.613949,-2.520689,-1.281132,0.051389,0.111211,0.295995,-125.167403,-76.370775,-68.221142
5841,9.461912,-2.201573,-1.089278,0.016293,0.111238,0.286851,-124.556996,-76.270777,-68.839794
5842,9.522,-2.394209,-1.22473,-0.035346,0.09588,0.264336,-124.043754,-76.174994,-69.389395
5843,9.43726,-2.32427,-1.371453,-0.022387,0.10498,0.238295,-123.5463,-76.093394,-69.915108
5844,9.550868,-2.190252,-1.287361,-0.041163,0.095229,0.214929,-123.11354,-76.018856,-70.385613
5845,9.568426,-2.170117,-1.162829,-0.050418,0.097072,0.193478,-122.713931,-75.954421,-70.827412
5846,9.592563,-2.264286,-1.000982,-0.060282,0.090895,0.178854,-122.35343,-75.894405,-71.234985
5847,9.573155,-2.122677,-0.997502,-0.084056,0.088139,0.163994,-122.033013,-75.840199,-71.615256
5848,9.618496,-2.0252,-0.9552,-0.101675,0.07971,0.153352,-121.754173,-75.7881,-71.963259
5849,9.558012,-2.074887,-0.95899,-0.141437,0.066807,0.148256,-121.531199,-75.734268,-72.277111
5850,9.588049,-2.611787,-1.045953,-0.175421,0.044563,0.138203,-121.384033,-75.678417,-72.533003
5851,9.332918,-2.581776,-1.029992,-0.163505,0.038937,0.102846,-121.283329,-75.638074,-72.733891
5852,9.263513,-2.447533,-1.030316,-0.183067,0.009469,0.082499,-121.27445,-75.598863,-72.851645
5853,9.558446,-2.354682,-0.960767,-0.175362,-0.011988,0.064873,-121.322664,-75.561907,-72.905979
5854,9.41462,-2.299256,-0.940059,-0.197231,-0.026702,0.037326,-121.443153,-75.534052,-72.898556
5855,9.546337,-2.526471,-1.037516,-0.210827,-0.048644,0.018022,-121.63494,-75.509003,-72.82564
