PacketCounter,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
5911,9.025491,-1.592754,-0.3246,0.636281,-0.594182,-0.137235,-31.257398,-80.140892,48.304565
5912,9.505676,-1.367533,-0.112809,0.607406,-0.550927,-0.114233,-31.527176,-80.446345,48.933962
5913,9.924573,-1.158858,0.029122,0.557683,-0.541392,-0.07563,-31.943402,-80.734047,49.682196
5914,10.521104,-0.945327,0.114773,0.528099,-0.597149,-0.040428,-32.640932,-81.037624,50.697723
5915,11.097872,-0.747873,-0.01201,0.481091,-0.546968,-0.001136,-33.433773,-81.301887,51.781464
5916,11.400685,-0.523033,-0.293576,0.443266,-0.531982,0.021573,-34.3578,-81.550071,52.975381
5917,11.519101,-0.452894,-0.809392,0.439945,-0.574809,0.029107,-35.45908,-81.811934,54.345557
5918,11.691521,-0.448081,-1.3644,0.474338,-0.578695,0.036848,-36.668817,-82.069754,55.844383
5919,11.530389,-0.338243,-1.795489,0.487774,-0.466027,0.055734,-37.717192,-82.264629,57.187171
5920,11.166328,-0.644056,-1.759587,0.468236,-0.391917,0.076615,-38.721183,-82.416258,58.47334
5921,10.929866,-1.138728,-1.896613,0.469002,-0.509946,0.094474,-40.151518,-82.609165,60.189436
5922,10.850092,-1.374357,-2.603821,0.527919,-0.643974,0.103464,-42.085043,-82.850713,62.445932
5923,11.429653,-2.006814,-2.756686,0.524743,-0.632745,0.1282,-44.1933,-83.066931,64.875574
5924,12.904182,-2.659414,-0.694367,0.614789,-0.342489,0.200554,-45.643625,-83.12744,66.693656
5925,13.91287,-1.111163,1.11926,0.648969,-0.302574,0.307415,-47.288311,-83.121221,68.727211
5926,15.084716,-0.286952,0.592474,0.332709,-0.489574,0.463505,-50.28272,-83.109014,71.937739
5927,15.609435,0.405283,-0.128108,0.292888,-0.354709,0.536584,-52.959174,-82.996528,74.805465
5928,14.768772,1.812437,0.468001,0.181642,-0.109943,0.442682,-54.461371,-82.832253,76.426329
5929,13.144733,0.881385,0.367395,-0.188495,-0.084415,0.288638,-55.60255,-82.72702,77.4702
5930,12.61661,-0.886645,0.313077,-0.047214,-0.244224,0.114282,-56.819047,-82.753473,78.671293
5931,12.320659,-1.204957,1.421332,0.084649,-0.218407,-0.035441,-57.488187,-82.8411,79.397076
5932,12.12538,-2.110039,2.49951,0.070349,-0.119225,-0.094355,-57.668608,-82.92644,79.621538
5933,11.934455,-2.085215,3.831469,0.197813,0.035038,-0.097802,-57.147123,-82.965545,79.212715
5934,11.476613,-1.472591,4.010802,0.25039,0.033351,-0.081281,-56.657139,-82.997122,78.865713
5935,11.586813,-0.93143,3.478149,0.282857,0.014717,-0.031886,-56.327514,-83.010357,78.699332
5936,11.716571,-0.420665,3.127842,0.35947,0.088055,0.029159,-55.845556,-82.971264,78.423468
5937,11.674068,-0.59228,3.158403,0.286911,0.139918,0.09503,-55.367747,-82.883659,78.110081
5938,11.429949,-1.605265,2.99468,0.197735,0.15487,0.152692,-55.059715,-82.764059,77.916028
5939,10.934431,-2.561895,2.542027,0.146234,0.105032,0.171508,-55.003124,-82.65162,77.945883
5940,10.985473,-3.166061,2.041922,0.146874,-0.034848,0.125454,-55.350526,-82.606818,78.383357
5941,11.16171,-3.261586,1.7768,0.241189,-0.124327,0.046266,-55.754383,-82.627858,78.932375
5942,11.434817,-2.91031,1.833059,0.298039,-0.116139,-0.069296,-55.8256,-82.700826,79.178831
5943,11.393818,-2.232574,1.827047,0.363735,-0.128716,-0.178413,-55.616201,-82.829447,79.180269
